rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -,g1f3
rnbqkbnr/pp1ppppp/8/2p5/8/5N2/PPPPPPPP/RNBQKB1R w KQkq -,e2e4
rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -,f1e2
rnbqkbnr/pp3ppp/3pp3/2p5/4P3/5N2/PPPPBPPP/RNBQK2R w KQkq -,d2d4
rnbqkbnr/pp3ppp/3pp3/8/3pP3/5N2/PPP1BPPP/RNBQK2R w KQkq -,f3d4
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq -,g8f6
rnbqkb1r/pppppppp/5n2/8/8/2P2N2/PP1PPPPP/RNBQKB1R b KQkq -,b8c6
r1bqkb1r/pppppppp/2n2n2/8/8/2P1PN2/PP1P1PPP/RNBQKB1R b KQkq -,e7e5
r1bqkb1r/pppp1ppp/2n2n2/4p3/3P4/2P1PN2/PP3PPP/RNBQKB1R b KQkq -,e5e4
rnbqkb1r/pp1ppppp/5n2/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -,e4e5
rnbqkb1r/pp1ppppp/8/2p1P3/6n1/5N2/PPPP1PPP/RNBQKB1R w KQkq -,h2h3
rnbqkb1r/pp1ppppp/7n/2p1P3/8/5N1P/PPPP1PP1/RNBQKB1R w KQkq -,d2d4
rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq -,g8f6
rnbqkb1r/pppppppp/5n2/8/3P4/2N5/PPP1PPPP/R1BQKBNR b KQkq -,d7d5
rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/2N5/PPP1PPPP/R2QKBNR b KQkq -,c7c5
rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/2N1P3/PPP2PPP/R2QKBNR b KQkq -,b8c6
rnbqkbnr/1p1ppppp/p7/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -,f1e2
rnb1kbnr/1pqppppp/p7/2p5/4P3/5N2/PPPPBPPP/RNBQK2R w KQkq -,b1c3
rnb1kb1r/1pqppppp/p4n2/2p5/4P3/2N2N2/PPPPBPPP/R1BQK2R w KQkq -,e4e5
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq -,e7e5
rnbqkbnr/pppp1ppp/8/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq -,g8f6
rnbqkb1r/pppp1ppp/5n2/4p3/2BPP3/8/PPP2PPP/RNBQK1NR b KQkq -,b8c6
r1bqkb1r/pppp1ppp/2n2n2/4p3/2BPP3/5N2/PPP2PPP/RNBQK2R b KQkq -,e5d4
r1bqkb1r/pppp1ppp/2n2n2/8/2BpP3/5N2/PPP1QPPP/RNB1K2R b KQkq -,f8b4
rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq -,d2d4
rnbqkb1r/pppp1ppp/4pn2/8/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq -,c1f4
rnbqk2r/pppp1ppp/4pn2/8/1b1P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq -,b1d2
rnbqk2r/1ppp1ppp/4pn2/p7/1b1P1B2/5N2/PPPNPPPP/R2QKB1R w KQkq -,e2e4
rnbqkb1r/pppppppp/5n2/8/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq -,c7c5
rnbqkb1r/pp1ppppp/5n2/2p5/8/3P1NP1/PPP1PP1P/RNBQKB1R b KQkq -,d7d5
rnbqkb1r/pp2pppp/5n2/2ppN3/8/3P2P1/PPP1PP1P/RNBQKB1R b KQkq -,e7e6
rnbqkb1r/pp3ppp/4pn2/2ppN3/4P3/3P2P1/PPP2P1P/RNBQKB1R b KQkq -,f8d6
rnbqkbnr/pp1ppppp/2p5/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq -,e2e4
rnbqkbnr/pp1ppp1p/2p3p1/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -,d2d4
rnbqkbnr/1p1ppp1p/2p3p1/p7/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq -,f1e2
rnbqk1nr/1p1pppbp/2p3p1/p7/3PP3/5N2/PPP1BPPP/RNBQK2R w KQkq -,e1g1
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq -,g8f6
rnbqkb1r/pppppppp/5n2/8/3P4/2P5/PP2PPPP/RNBQKBNR b KQkq -,b8c6
r1bqkb1r/pppppppp/2n2n2/8/3P4/2P5/PP1NPPPP/R1BQKBNR b KQkq -,e7e5
r1bqkb1r/pppp1ppp/2n2n2/4p3/3P4/2P2N2/PP2PPPP/R1BQKBNR b KQkq -,d7d6
r1bqkb1r/ppp2ppp/2np1n2/4P3/8/2P2N2/PP2PPPP/R1BQKBNR b KQkq -,d6e5
rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -,f3g5
rnbqkb1r/pp2pppp/3p1n2/2p3N1/4P3/8/PPPP1PPP/RNBQKB1R w KQkq -,b1c3
rnbqkb1r/pp3ppp/3ppn2/2p3N1/4P3/2N5/PPPP1PPP/R1BQKB1R w KQkq -,f1b5
rnbqkb1r/pppppppp/5n2/8/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq -,e7e6
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq -,c7c5
rnbqkb1r/pp1p1ppp/4pn2/2p5/2PP4/4PN2/PP3PPP/RNBQKB1R b KQkq -,f8e7
rnbqk2r/pp1pbppp/4pn2/2pP4/2P5/4PN2/PP3PPP/RNBQKB1R b KQkq -,e6d5
rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R w KQkq -,d2d4
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq -,e2e3
rn1qkb1r/ppp1pppp/5n2/3p4/3P2b1/4PN2/PPP2PPP/RNBQKB1R w KQkq -,f1e2
rn1qkb1r/ppp2ppp/4pn2/3p4/3P2b1/4PN2/PPP1BPPP/RNBQK2R w KQkq -,c2c4
