nohup: ignoring input
Initializing best model from attempt_14b_epoch032.pt

================================================================================
SELF-PLAY TRAINING PIPELINE
================================================================================
Work directory: selfplay_run01
Best model: selfplay_run01/models/best_model.pt
Replay buffer: selfplay_run01/replay_buffer.csv
Device: cuda

Configuration:
  Iterations: 50
  Games per iteration: 1000
  Training batches: 5000
  Batch size: 256
  Learning rate: 0.0001
  Evaluation games: 40
  Win threshold: 55%
  Self-play simulations: 400
  Eval simulations: 400
  MCTS leaf-parallel batch: 128
  NN forward batch: 512
  Early-exit min sims: 200
  Parallel self-play workers: 24
================================================================================


================================================================================
ITERATION 1/50
================================================================================

[1/4] Generating 1000 self-play games...
Generating 1000 self-play games...
MCTS config: simulations=400, batch=128, cpuct=2.0
Parallel workers: 24
Output: selfplay_run01/selfplay_games/iteration_0000.csv

[1/1000] Game 1: 0-1, 90 positions, 15.5s, 5.8 moves/s
[2/1000] Game 11: 1/2-1/2, 53 positions, 13.2s, 4.0 moves/s
[3/1000] Game 22: 1-0, 63 positions, 13.9s, 4.5 moves/s
[4/1000] Game 13: 1-0, 67 positions, 14.0s, 4.8 moves/s
[5/1000] Game 24: 1-0, 65 positions, 13.9s, 4.7 moves/s
[6/1000] Game 6: 0-1, 76 positions, 14.4s, 5.3 moves/s
[7/1000] Game 5: 1/2-1/2, 85 positions, 15.2s, 5.6 moves/s
[8/1000] Game 18: 1/2-1/2, 77 positions, 15.0s, 5.1 moves/s
[9/1000] Game 19: 0-1, 76 positions, 15.2s, 5.0 moves/s
[10/1000] Game 10: 1/2-1/2, 108 positions, 16.8s, 6.4 moves/s
[11/1000] Game 17: 1-0, 97 positions, 17.0s, 5.7 moves/s
[12/1000] Game 9: 1-0, 103 positions, 17.4s, 5.9 moves/s
[13/1000] Game 7: 0-1, 114 positions, 17.6s, 6.5 moves/s
[14/1000] Game 8: 1/2-1/2, 97 positions, 17.7s, 5.5 moves/s
[15/1000] Game 12: 1/2-1/2, 114 positions, 17.6s, 6.5 moves/s
[16/1000] Game 2: 1-0, 119 positions, 18.6s, 6.4 moves/s
[17/1000] Game 3: 0-1, 106 positions, 18.6s, 5.7 moves/s
[18/1000] Game 15: 0-1, 116 positions, 18.9s, 6.1 moves/s
[19/1000] Game 20: 1-0, 119 positions, 19.1s, 6.2 moves/s
[20/1000] Game 33: 1-0, 43 positions, 4.4s, 9.8 moves/s
[21/1000] Game 16: 1/2-1/2, 123 positions, 19.6s, 6.3 moves/s
