nohup: ignoring input
Initializing best model from attempt_14b_epoch032.pt
Initializing training trunk from attempt_14b_epoch032.pt

================================================================================
SELF-PLAY TRAINING PIPELINE
================================================================================
Work directory: selfplay_run10
Best model: selfplay_run10/models/best_model.pt
Replay buffer: selfplay_run10/replay_buffer.csv
Device: cuda

Configuration:
  Iterations: 50
  Games per iteration: 1000
  Training batches: 2000
  Batch size: 256
  Learning rate: 3e-05
  Evaluation games: 500
  Win threshold: 52%
  Self-play simulations: 800
  Dirichlet noise: alpha=0.3, epsilon=0.25
  Eval simulations: 800
  cpuct: 1.25
  MCTS leaf-parallel batch: 128
  NN forward batch: 512
  Early-exit min sims: 400
  Parallel self-play workers: 24
  Parallel eval workers: 24
  Pre-fill iterations: 4
  Pre-fill cache dir: prefill_cache_800_direchlet_cpucut_1_25
================================================================================


================================================================================
PRE-FILL PHASE (4 iterations of self-play, no training)
  Prefill data dir: prefill_cache_800_direchlet_cpucut_1_25
================================================================================


[PREFILL 1/4] Generating 1000 self-play games -> prefill_cache_800_direchlet_cpucut_1_25/prefill_0000.csv
Generating 1000 self-play games...
MCTS config: simulations=800, batch=128, cpuct=1.25
Exploration: dirichlet_alpha=0.3, dirichlet_epsilon=0.25
Parallel workers: 24
Output: prefill_cache_800_direchlet_cpucut_1_25/prefill_0000.csv

[1/1000] Game 17: 1/2-1/2, 60 positions, 41.1s, 1.5 moves/s
[2/1000] Game 13: 1/2-1/2, 54 positions, 42.4s, 1.3 moves/s
[3/1000] Game 23: 1-0, 69 positions, 43.4s, 1.6 moves/s
[4/1000] Game 21: 0-1, 68 positions, 44.1s, 1.5 moves/s
[5/1000] Game 22: 1-0, 71 positions, 44.6s, 1.6 moves/s
[6/1000] Game 24: 1/2-1/2, 74 positions, 46.3s, 1.6 moves/s
[7/1000] Game 6: 1-0, 79 positions, 46.5s, 1.7 moves/s
[8/1000] Game 19: 1-0, 73 positions, 46.6s, 1.6 moves/s
[9/1000] Game 11: 1/2-1/2, 76 positions, 47.0s, 1.6 moves/s
[10/1000] Game 14: 1-0, 87 positions, 49.2s, 1.8 moves/s
[11/1000] Game 2: 1-0, 93 positions, 49.6s, 1.9 moves/s
[12/1000] Game 9: 1-0, 87 positions, 49.7s, 1.8 moves/s
[13/1000] Game 5: 1/2-1/2, 98 positions, 50.7s, 1.9 moves/s
[14/1000] Game 12: 1/2-1/2, 117 positions, 51.3s, 2.3 moves/s
[15/1000] Game 10: 0-1, 120 positions, 52.9s, 2.3 moves/s
[16/1000] Game 3: 1/2-1/2, 110 positions, 53.3s, 2.1 moves/s
[17/1000] Game 4: 1/2-1/2, 122 positions, 54.3s, 2.2 moves/s
[18/1000] Game 16: 0-1, 118 positions, 54.2s, 2.2 moves/s
